"line1","col1","line2","col2","token","text"
412,73,412,74,"OR2","||"
412,92,412,92,"'['","["
413,47,413,48,"LBB","[["
413,59,413,59,"'['","["
414,47,414,48,"LBB","[["
414,60,414,60,"'['","["
415,5,415,6,"IF","if"
415,26,415,27,"AND2","&&"
417,36,417,37,"LBB","[["
418,36,418,37,"LBB","[["
420,7,420,8,"IF","if"
420,43,420,44,"LBB","[["
421,52,421,52,"'['","["
421,68,421,69,"LBB","[["
424,42,424,42,"'['","["
424,59,424,59,"'['","["
425,38,425,38,"'['","["
427,9,427,10,"IF","if"
427,29,427,29,"'['","["
427,62,427,63,"OR2","||"
427,86,427,87,"LBB","[["
427,98,427,98,"'['","["
430,38,430,39,"LBB","[["
431,9,431,10,"IF","if"
431,23,431,24,"LBB","[["
431,45,431,46,"OR2","||"
431,55,431,56,"LBB","[["
436,77,436,78,"LBB","[["
437,9,437,10,"IF","if"
437,29,437,29,"'['","["
437,87,437,88,"LBB","[["
437,106,437,106,"'['","["
440,9,440,10,"IF","if"
440,45,440,46,"LBB","[["
442,9,442,10,"IF","if"
443,9,443,10,"IF","if"
443,23,443,24,"LBB","[["
443,38,443,39,"OR2","||"
443,48,443,49,"LBB","[["
444,9,444,10,"IF","if"
453,5,453,6,"IF","if"
453,30,453,31,"LBB","[["
453,49,453,49,"'['","["
454,27,454,28,"LBB","[["
455,28,455,29,"LBB","[["
456,27,456,28,"LBB","[["
458,28,458,29,"LBB","[["
459,29,459,30,"LBB","[["
462,51,462,52,"LBB","[["
463,5,463,6,"IF","if"
463,63,463,64,"LBB","[["
464,53,464,54,"LBB","[["
464,67,464,68,"LBB","[["
467,81,467,82,"LBB","[["
467,114,467,115,"LBB","[["
473,5,473,6,"IF","if"
473,16,473,17,"LBB","[["
473,32,473,35,"SYMBOL_FUNCTION_CALL","stop"
474,15,474,16,"LBB","[["
475,28,475,29,"LBB","[["
476,27,476,28,"LBB","[["
477,22,477,23,"LBB","[["
477,32,477,32,"'['","["
487,5,487,6,"IF","if"
491,3,491,4,"IF","if"
491,75,491,75,"'['","["
502,54,502,55,"LBB","[["
506,70,506,71,"LBB","[["
507,7,507,8,"IF","if"
508,7,508,8,"IF","if"
511,5,511,6,"IF","if"
511,19,511,20,"LBB","[["
511,34,511,35,"OR2","||"
511,44,511,45,"LBB","[["
515,33,515,34,"LBB","[["
516,33,516,34,"LBB","[["
517,7,517,8,"IF","if"
518,24,518,25,"LBB","[["
520,24,520,25,"LBB","[["
520,34,520,35,"LBB","[["
552,27,552,28,"LBB","[["
553,5,553,6,"IF","if"
553,19,553,20,"LBB","[["
553,34,553,35,"OR2","||"
553,44,553,45,"LBB","[["
554,21,554,22,"LBB","[["
561,21,561,22,"LBB","[["
569,21,569,22,"LBB","[["
569,39,569,39,"'['","["
573,23,573,24,"LBB","[["
574,35,574,36,"LBB","[["
575,7,575,8,"IF","if"
575,21,575,22,"LBB","[["
575,42,575,43,"OR2","||"
575,52,575,53,"LBB","[["
576,29,576,30,"LBB","[["
588,38,588,39,"LBB","[["
589,21,589,22,"LBB","[["
591,35,591,36,"LBB","[["
592,29,592,30,"LBB","[["
595,56,595,57,"AND2","&&"
595,103,595,104,"OR2","||"
596,9,596,10,"IF","if"
600,27,600,28,"LBB","[["
600,45,600,45,"'['","["
602,9,602,10,"IF","if"
603,27,603,28,"LBB","[["
603,45,603,45,"'['","["
608,23,608,23,"'['","["
608,78,608,79,"LBB","[["
608,96,608,96,"'['","["
609,36,609,37,"LBB","[["
609,54,609,54,"'['","["
610,23,610,23,"'['","["
611,7,611,8,"IF","if"
613,9,613,10,"IF","if"
614,9,614,10,"IF","if"
615,9,615,10,"IF","if"
615,23,615,24,"LBB","[["
615,44,615,45,"OR2","||"
615,54,615,55,"LBB","[["
618,32,618,32,"'['","["
619,7,619,8,"IF","if"
621,9,621,10,"IF","if"
622,9,622,10,"IF","if"
622,23,622,24,"LBB","[["
622,38,622,39,"OR2","||"
622,48,622,49,"LBB","[["
623,9,623,10,"IF","if"
634,29,634,29,"'['","["
634,50,634,50,"'['","["
635,30,635,30,"'['","["
636,30,636,30,"'['","["
642,30,642,30,"'['","["
643,36,643,36,"'['","["
644,5,644,6,"IF","if"
644,19,644,20,"LBB","[["
644,30,644,31,"LBB","[["
644,45,644,46,"OR2","||"
644,55,644,56,"LBB","[["
644,66,644,67,"LBB","[["
644,81,644,82,"OR2","||"
644,94,644,95,"LBB","[["
644,105,644,106,"LBB","[["
644,126,644,127,"OR2","||"
644,136,644,137,"LBB","[["
644,147,644,148,"LBB","[["
645,32,645,32,"'['","["
646,5,646,6,"IF","if"
657,41,657,41,"'['","["
657,63,657,63,"'['","["
658,48,658,48,"'['","["
659,28,659,29,"IF","if"
659,71,659,71,"'['","["
663,21,663,22,"LBB","[["
666,33,666,34,"LBB","[["
667,56,667,56,"'['","["
673,48,673,48,"'['","["
673,66,673,66,"'['","["
687,7,687,8,"IF","if"
688,49,688,50,"LBB","[["
689,41,689,42,"LBB","[["
690,41,690,42,"LBB","[["
690,60,690,60,"'['","["
690,77,690,78,"LBB","[["
690,95,690,95,"'['","["
691,25,691,26,"LBB","[["
693,53,693,54,"LBB","[["
693,85,693,86,"LBB","[["
693,105,693,106,"LBB","[["
694,7,694,8,"IF","if"
694,47,694,48,"LBB","[["
705,57,705,57,"'['","["
705,73,705,74,"LBB","[["
707,9,707,10,"IF","if"
707,29,707,30,"LBB","[["
707,57,707,57,"'['","["
707,76,707,77,"AND2","&&"
708,26,708,27,"LBB","[["
708,37,708,38,"LBB","[["
708,67,708,68,"LBB","[["
709,27,709,28,"LBB","[["
709,55,709,55,"'['","["
710,36,710,37,"LBB","[["
711,35,711,36,"LBB","[["
711,73,711,74,"LBB","[["
712,11,712,12,"IF","if"
712,39,712,40,"LBB","[["
720,7,720,8,"IF","if"
720,21,720,22,"LBB","[["
721,15,721,16,"LBB","[["
722,13,722,14,"LBB","[["
732,21,732,22,"LBB","[["
738,39,738,39,"'['","["
738,117,738,118,"LBB","[["
746,7,746,8,"IF","if"
747,51,747,52,"LBB","[["
748,29,748,30,"LBB","[["
749,7,749,8,"IF","if"
749,40,749,41,"LBB","[["
750,30,750,31,"LBB","[["
752,50,752,51,"LBB","[["
753,42,753,42,"'['","["
754,25,754,26,"LBB","[["
755,53,755,54,"LBB","[["
755,90,755,91,"LBB","[["
756,7,756,8,"IF","if"
756,47,756,48,"LBB","[["
759,19,759,20,"LBB","[["
763,50,763,51,"LBB","[["
764,46,764,47,"LBB","[["
765,9,765,10,"IF","if"
765,42,765,43,"LBB","[["
768,36,768,37,"LBB","[["
769,32,769,33,"LBB","[["
771,9,771,10,"IF","if"
771,34,771,35,"LBB","[["
771,61,771,62,"LBB","[["
771,72,771,73,"AND2","&&"
772,26,772,27,"LBB","[["
772,49,772,50,"LBB","[["
773,32,773,33,"LBB","[["
773,59,773,60,"LBB","[["
774,27,774,28,"LBB","[["
774,73,774,74,"LBB","[["
775,11,775,12,"IF","if"
775,31,775,32,"LBB","[["
777,23,777,24,"LBB","[["
782,7,782,8,"IF","if"
782,21,782,22,"LBB","[["
783,15,783,16,"LBB","[["
784,13,784,14,"LBB","[["
788,25,788,25,"'['","["
